file,prompt,name,alt,ar,position
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051819_e391e4d3-1e73-440d-8ac2-2635ea660dc2.png,churrasqueria espetos,espetos-de-picanha-churrasqueria-asuncion,"Espetos de picaña y chorizo sobre las brasas en una churrasquería de Asunción, con un corte recién servido",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051819_00a11d89-ff24-4c65-8045-42373f3a8d22.png,surubi a la parrilla,surubi-a-la-parrilla-postas,"Postas de surubí a la parrilla con marcas de brasa, limón y chimichurri en un quincho paraguayo",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_18b6ba98-051a-4a51-b9f5-a15fdd7e189a.png,pescados de rio en hielo,pescados-de-rio-surubi-pacu-dorado,"Surubí, pacú y dorado enteros sobre hielo en un puesto de pescado de Asunción",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_8033278a-3fb8-4fd2-afd5-b916955e23cf.png,tapa de cuadril al horno,tapa-de-cuadril-al-horno-en-rodajas,"Tapa de cuadril al horno cortada en rodajas rosadas con su capa de grasa dorada y papas asadas",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_3c7019a5-8e8d-477e-938c-fa83bcf5e779.png,parrilla para asadito,asaditos-en-parrilla-portatil-paraguay,"Asaditos en palitos dorándose sobre una parrilla portátil a carbón, con mandioca al costado",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_6ea21ff6-4450-4e94-b233-3cdd43ac3c29.png,jugos para ninos,jugos-naturales-de-frutas-para-ninos,"Cuatro vasos de jugos naturales de naranja, frutilla, mango y sandía con frutas cortadas alrededor",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_418fc6ee-70ea-4001-862d-d245f7761963.png,cortes de pollo,cortes-de-pollo-crudos-en-tabla,"Cortes de pollo crudos sobre una tabla: suprema, muslos, patas, pata muslo y alitas con ajo y limón",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_dd9dcbbb-5882-417b-8e1f-bb38ed7938c2.png,empanadas para eventos,empanadas-para-eventos-bandejas-catering,"Bandejas de empanadas doradas para un evento, algunas abiertas con relleno de carne",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051819_02176f29-65e5-40ea-9262-b74cf41aa0a9.png,parrillada,parrillada-completa-en-brasero-quincho,"Parrillada completa en un brasero de mesa con costilla, vacío, chorizo, morcilla y pollo, con mandioca",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_05eda9b8-d1db-42fd-807d-259091f39d23.png,avena con frutas,avena-con-frutas-banana-y-mamon,"Bowl de avena cremosa con banana, mamón, frutillas, miel y canela en una mesa de desayuno",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051818_71681b60-40c6-4754-a52a-e0293282cb8e.png,bowl de yogur con frutas,bowl-de-yogur-con-frutas-y-granola,"Bowl de yogur natural con mango, piña, kiwi, frutillas y granola visto desde arriba",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051819_e8cc197c-3fee-4e07-a3b8-9995a8e0f40e.png,cordero al horno,pierna-de-cordero-al-horno-con-papas,"Pierna de cordero al horno dorada con ajo y romero, papas y cebollas en la asadera",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_9002a993-06b1-4d4c-b6b0-d21e34229d14.png,panceta crocante,panceta-crocante-en-tabla,"Panceta crocante cortada en trozos gruesos con cuero dorado, lima y mandioca sobre una tabla",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051843_3207b51c-244c-41c5-8c15-93d4813eb13f.png,cortes de cerdo,cortes-de-cerdo-crudos-carniceria,"Cortes de cerdo crudos en una carnicería: bondiola, carré, costillar, matambrito y pernil",4:3,
https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260925_051916_32f648db-0141-4a96-9343-9e6a977fd8ed.png,tipos de queso,tabla-de-quesos-con-queso-paraguay,"Tabla con distintos tipos de queso, queso Paraguay fresco al frente, chipa, uvas y nueces",4:3,
