keyword,volume,cpc_low_sek,cpc_high_sek,rounds,topics
restaurant cerca de mi,33100,3.54,16.42,2,restaurant-nearme
restaurante,33100,1.97,9.44,2,restaurant-nearme
restaurantes,33100,1.97,9.44,2,restaurant-nearme
restaurantes cerca de mi,33100,3.54,16.42,2,restaurant-nearme
mcdonald cerca de mi,27100,,,2,restaurant-brand
cafetería cerca de mi,22200,0.27,3.00,2,restaurant-nearme
supermercado,18100,1.07,7.62,2,other
pizza cerca de mí,14800,5.75,14.58,2 4,restaurant-nearme pizza-empanada-carne
mercados de abasto,12100,,,3,abasto-produce
opizza,12100,4.07,10.41,4,pizza-empanada-carne
pizza,12100,4.07,10.41,4,pizza-empanada-carne
hamburguesas cerca de mi,8100,5.50,14.25,2,restaurant-nearme
sopa paraguaya,8100,,,2 3,recipe recipes
sopa paraguayas,8100,,,2 3,recipe recipes
sopa paraguayo,8100,,,2 3,recipe recipes
sopa py,8100,,,2 3,recipe recipes
sopa pya,8100,,,2 3,recipe recipes
strogonoff de pollo,8100,,,3,recipes
chipa guazu,6600,,,2,recipe
chipa guazú,6600,,,3 5,recipes paraguaya-chipa
mbejû,6600,,,2,recipe
restaurantes en asuncion,6600,0.09,16.60,2,restaurant-editorial
comida cerca de mi,5400,4.72,19.96,2,restaurant-nearme
empanada,5400,3.32,9.12,4,pizza-empanada-carne
super mas,5400,4.89,10.56,2,supermarket-brand
tereré,5400,,,5,bebidas-merienda-choclo
churrasqueria,4400,,,2,restaurant-editorial
comida tipica de paraguay,4400,,,2,recipe
lomito,4400,4.07,10.81,4,pizza-empanada-carne
pizzerias,4400,5.45,13.59,4,pizza-empanada-carne
vitel tone,4400,,,3,recipes
arete supermercado,3600,2.50,10.69,2,supermarket-brand
canelones,3600,,,3,recipes
carne,3600,,,2 4,meat-cut pizza-empanada-carne
empanadas areco,3600,,,4,pizza-empanada-carne
ensaladas rusa,3600,,,3,recipes
pollerias cerca de mi,3600,5.41,14.75,2,restaurant-nearme
yogurt griego,3600,1.69,7.25,3,dairy
cesar ensalada,2900,,,3,recipes
ensalada cesar,2900,,,3,recipes
osobuco,2900,,,2 3,meat-cut recipes
picaña,2900,,,2 3,meat-cut recipes
pizza napolitana,2900,,,4,pizza-empanada-carne
