"keyword","volume","change_3m","change_yoy","competition","bid_low","bid_high","section","class"
"como en casa","1300","+23%","+122%","Låg","","","Sökordsförslag","brand-restaurant"
"chefs","1000","+22%","-12%","Låg","","","Sökord som du har angett","chef"
"chef ramsay gordon","880","-63%","-33%","Låg","","","Sökordsförslag","celebrity-chef"
"catering","720","+22%","0%","Låg","4.03","5.50","Sökord som du har angett","catering"
"delivery cerca de mi","720","+49%","+22%","Låg","3.44","15.40","Sökordsförslag","delivery-generic"
"servicio de catering","480","+51%","+23%","Låg","3.93","5.21","Sökord som du har angett","catering"
"chef s","480","+680%","+22%","Låg","","","Sökordsförslag","chef"
"cheffs","210","0%","-19%","Låg","","","Sökordsförslag","chef"
"jordi cruz","210","+24%","+420%","Låg","","","Sökordsförslag","celebrity-chef"
"la toscana catering","210","-19%","+21%","Låg","","","Sökordsförslag","catering"
"comida a domicilio","170","-65%","+143%","Låg","3.15","15.93","Sökord som du har angett","delivery-generic"
"comida para llevar","170","-19%","+50%","Låg","","","Sökordsförslag","delivery-generic"
"chef vip","170","+86%","+86%","Låg","","","Sökordsförslag","other"
"comida a domicilio cerca de mi","140","-21%","0%","Låg","0.61","13.27","Sökordsförslag","delivery-generic"
"catering para eventos","140","+29%","-18%","Låg","3.55","5.11","Sökordsförslag","catering"
"chef a domicilio","140","0%","0%","Låg","","","Sökordsförslag","chef"
"chef domicilio","140","0%","0%","Låg","","","Sökordsförslag","chef"
"rapipollo","110","+57%","+22%","Låg","","","Sökordsförslag","brand-restaurant"
"comida delivery","90","+143%","+143%","Låg","2.46","16.12","Sökord som du har angett","delivery-generic"
"el chef","90","0%","0%","Låg","","","Sökordsförslag","other"
"delivery de comida cerca de mi","70","+25%","0%","Låg","5.70","20.25","Sökordsförslag","delivery-generic"
"delivery comida cerca de mi","70","+40%","0%","Låg","4.82","16.42","Sökordsförslag","delivery-generic"
"hamburguesas delivery","70","0%","0%","Låg","4.52","11.80","Sökordsförslag","delivery-generic"
"comida con delivery cerca de mi","70","+25%","0%","Låg","5.70","20.25","Sökordsförslag","delivery-generic"
"pizza delivery cerca de mi","70","-29%","0%","Låg","0.39","17.50","Sökordsförslag","delivery-generic"
"comida delivery cerca de mí","70","+25%","0%","Låg","5.70","20.25","Sökordsförslag","delivery-generic"
"souschef","70","+29%","0%","Låg","","","Sökordsförslag","chef"
"chef francis mallmann","70","+29%","+29%","Låg","","","Sökordsförslag","celebrity-chef"
"cuatro fuegos catering","70","-22%","+75%","Låg","","","Sökordsförslag","catering"
"marta elena catering","70","+40%","+75%","Låg","","","Sökordsförslag","catering"
"delivery de comida","50","0%","-20%","Låg","1.67","16.71","Sökordsförslag","delivery-generic"
"delivery de comida cerca de mí ubicación","50","-78%","-33%","Låg","","","Sökordsförslag","delivery-generic"
"pedidos ya delivery","50","0%","0%","Låg","2.46","7.08","Sökordsförslag","delivery-navigational"
"servicio de delivery","50","+67%","0%","Låg","","","Sökordsförslag","delivery-generic"
"delivery de comidas cerca de mi ubicación","50","-78%","-33%","Låg","","","Sökordsförslag","delivery-generic"
"chef david muñoz","50","-29%","+25%","Låg","","","Sökordsförslag","celebrity-chef"
"chef de cocina","50","-29%","0%","Låg","","","Sökordsförslag","chef"
"chef petersen","50","-100%","0%","","","","Sökordsförslag","celebrity-chef"
"david muñoz","50","-29%","+25%","Låg","","","Sökordsförslag","celebrity-chef"
"delivery san lorenzo","50","-29%","-29%","Låg","3.34","10.91","Sökordsförslag","delivery-generic"
"comida para llevar cerca de mi","40","0%","-25%","Låg","","","Sökordsförslag","delivery-generic"
"comida delivery cerca","40","-75%","-80%","Låg","","","Sökordsförslag","delivery-generic"
"comidas para llevar cerca de mi","40","0%","-25%","Låg","","","Sökordsförslag","delivery-generic"
"servicio de catering para eventos","40","+150%","+67%","Låg","3.93","5.31","Sökordsförslag","catering"
"delivery cerca de mi ubicación","40","0%","+25%","Låg","2.52","13.47","Sökordsförslag","delivery-generic"
"asado delivery","40","-20%","-20%","Låg","2.85","8.75","Sökordsförslag","delivery-generic"
"delivery asado","40","-20%","-20%","Låg","2.85","8.75","Sökordsförslag","delivery-generic"
"escoffiers","40","0%","-25%","Låg","","","Sökordsförslag","celebrity-chef"
"masterchef españa","40","-78%","-60%","Låg","","","Sökordsförslag","other"
"delivery de mcdonald's","30","0%","-40%","Låg","3.05","12.09","Sökordsförslag","delivery-navigational"
"restaurantes delivery","30","0%","-50%","Låg","","","Sökordsförslag","delivery-generic"
"servicio catering","30","-50%","-67%","Låg","","","Sökordsförslag","catering"
"chef profesional","30","+100%","-20%","Låg","","","Sökordsförslag","chef"
"pizza hut pedidos","30","+33%","+100%","Låg","5.80","16.42","Sökordsförslag","delivery-navigational"
"delivery de mcdonalds","30","0%","-40%","Låg","3.05","12.09","Sökordsförslag","delivery-navigational"
"delivery de pizza cerca de mi ubicación","30","0%","0%","Låg","2.04","8.55","Sökordsförslag","delivery-generic"
"hamburguesas delivery cerca de mi","30","-50%","-50%","Låg","","","Sökordsförslag","delivery-generic"
"servicio de catering para 100 personas precios","30","+50%","0%","Låg","","","Sökordsförslag","catering"
"chef ducasse","30","0%","-33%","Låg","","","Sökordsförslag","celebrity-chef"
"como vestirme para una boda civil","30","+50%","+50%","Låg","","","Sökordsförslag","other"
"como vestirme para una boda de dia","30","+100%","-33%","Låg","","","Sökordsförslag","other"
"delivery cercano","30","+100%","+33%","Låg","3.83","10.13","Sökordsförslag","delivery-generic"
"talleyrand catering","30","+100%","-33%","Låg","","","Sökordsförslag","catering"
"érick jacquin","30","-33%","-71%","Låg","","","Sökordsförslag","celebrity-chef"
"pedir comida a domicilio","20","0%","0%","Låg","2.95","19.27","Sökordsförslag","delivery-generic"
"pizzas a domicilio","20","-50%","-50%","Låg","","","Sökordsförslag","delivery-generic"
"pizza a domicilio cerca de mi","20","0%","0%","Låg","","","Sökordsförslag","delivery-generic"
"delivery 24 horas","20","-50%","0%","Låg","","","Sökordsförslag","delivery-generic"
"delivery de comida cerca","20","0%","+100%","Låg","0.32","11.49","Sökordsförslag","delivery-generic"
"restaurantes con delivery cerca de mi","20","0%","+100%","Låg","","","Sökordsförslag","delivery-generic"
"restaurantes con delivery","20","-50%","-50%","Låg","","","Sökordsförslag","delivery-generic"
"comida con delivery","20","+100%","0%","Låg","","","Sökordsförslag","delivery-generic"
"restaurantes cerca de mi con delivery","20","0%","+100%","Låg","","","Sökordsförslag","delivery-generic"
"delivery abierto ahora","20","0%","0%","Låg","","","Sökordsförslag","delivery-generic"
"pedidos market","20","-33%","+100%","Låg","2.46","3.05","Sökordsförslag","delivery-navigational"
"pizza con delivery cerca de mi","20","-67%","0%","Låg","","","Sökordsförslag","delivery-generic"
"restaurantes delivery cerca de mi","20","0%","0%","Låg","","","Sökordsförslag","delivery-generic"
"domicilio cerca de mi","20","0%","+100%","Låg","","","Sökordsförslag","delivery-generic"
"delivery pizza cerca de mi","20","-50%","0%","Låg","","","Sökordsförslag","delivery-generic"
"restaurante delivery cerca de mi","20","0%","0%","Låg","","","Sökordsförslag","delivery-generic"
"almuerzo delivery","20","0%","-75%","Låg","","","Sökordsförslag","delivery-generic"
"delivery de hamburguesas","20","-60%","-33%","Låg","","","Sökordsförslag","delivery-generic"
"comida con delivery cerca de mi ubicación","20","0%","0%","Låg","3.24","19.86","Sökordsförslag","delivery-generic"
"servicio de buffet para eventos","20","+100%","-33%","Låg","","","Sökordsförslag","catering"
