list,keyword,volume,change_3m,change_yoy,competition,bid_low,bid_high,section,class
"1","sopa paraguaya","8100","+49%","-18%","Låg","","","Sökordsförslag","recipe"
"1","sopa paraguayas","8100","+49%","-18%","Låg","","","Sökordsförslag","recipe"
"1","sopa paraguayo","8100","+49%","-18%","Låg","","","Sökordsförslag","recipe"
"1","sopa py","8100","+49%","-18%","Låg","","","Sökordsförslag","recipe"
"1","sopa pya","8100","+49%","-18%","Låg","","","Sökordsförslag","recipe"
"1","chipa guazu","6600","+23%","-18%","Låg","","","Sökordsförslag","recipe"
"1","mbejû","6600","-45%","-33%","Låg","","","Sökordsförslag","recipe"
"1","comida tipica de paraguay","4400","0%","-18%","Låg","","","Sökordsförslag","recipe"
"1","tortilla paraguay","2400","+21%","0%","Låg","","","Sökordsförslag","recipe"
"1","mbeju receta","1900","-57%","-21%","Låg","","","Sökord som du har angett","recipe"
"1","sopa paraguaya receta","1600","+23%","-16%","Låg","","","Sökord som du har angett","recipe"
"1","ingrediente para chipa","1600","-28%","-28%","Låg","","","Sökordsförslag","recipe"
"1","receta de la sopa paraguaya","1600","+23%","-33%","Låg","","","Sökordsförslag","recipe"
"1","receta de chipa","1300","-18%","-28%","Låg","","","Sökord som du har angett","recipe"
"1","chipas paraguayas","1300","0%","-16%","Låg","","","Sökordsförslag","recipe"
"1","comidas del paraguay","1300","+23%","-16%","Låg","","","Sökordsförslag","recipe"
"1","receta de chipas","1300","-18%","-28%","Låg","","","Sökordsförslag","recipe"
"1","receta de mbeju","1300","-56%","-33%","Låg","","","Sökordsförslag","recipe"
"1","chipa guazu receta","1000","0%","-12%","Låg","","","Sökord som du har angett","recipe"
"1","comidas típicas paraguay","1000","0%","-19%","Låg","","","Sökordsförslag","recipe"
"1","ingredientes para mbeju","1000","-45%","-16%","Låg","","","Sökordsförslag","recipe"
"1","paraguay comida tipica","1000","0%","-19%","Låg","","","Sökordsförslag","recipe"
"1","reviro paraguay","1000","0%","0%","Låg","","","Sökordsförslag","recipe"
"1","mbeju ingredientes","880","-54%","-54%","Låg","","","Sökordsförslag","recipe"
"1","chipa almidon","720","+22%","-28%","Låg","","","Sökordsförslag","recipe"
"1","chipa almidón","720","+22%","-28%","Låg","","","Sökordsförslag","recipe"
"1","comidas típicas del paraguay","720","+81%","-19%","Låg","","","Sökordsförslag","recipe"
"1","mbeyú","720","-55%","-28%","Låg","","","Sökordsförslag","recipe"
